subject,body,category
"Invoice not generated","My invoice for last month has still not been generated. Can someone check this?",Billing
"Charged twice this month","I was charged twice for my subscription this billing cycle. Please refund the extra amount.",Billing
"Refund still pending","I requested a refund two weeks ago and it still has not arrived in my account.",Billing
"Update billing information","How can I update my billing information and card details on file?",Billing
"Wrong amount charged","The amount charged to my card does not match the plan I signed up for.",Billing
"Subscription renewal question","Why was I billed for a subscription I already cancelled last month?",Billing
"Need a copy of my invoice","Can you please send me a copy of my invoice for the previous quarter?",Billing
"Payment failed but money deducted","My payment failed on the website but the money was still deducted from my bank account.",Billing
"Upgrade plan billing query","If I upgrade my plan mid-cycle, how will the prorated billing work?",Billing
"Tax invoice request","I need a GST tax invoice for my last purchase for accounting purposes.",Billing
"Duplicate transaction on card","I see a duplicate transaction on my credit card statement from your company.",Billing
"Cancel subscription refund","I cancelled my subscription but have not received any refund yet.",Billing
"Billing cycle change request","Can I change my billing cycle from monthly to annual to save money?",Billing
"Overcharged for add-on","I was overcharged for an add-on feature that I never actually enabled.",Billing
"Coupon code not applied","My discount coupon code was not applied at checkout and I paid the full price.",Billing
"Application crashes on login","The application crashes every time I try to log in from my laptop.",Technical
"API returning 500 error","The API is returning a 500 internal server error whenever I send a POST request.",Technical
"Website not loading","The website is not loading at all, it just shows a blank white screen.",Technical
"Cannot reset password","I cannot reset my password even after clicking the reset link multiple times.",Technical
"App keeps freezing","The mobile app keeps freezing whenever I try to upload a file.",Technical
"Login page throws error","The login page throws a 404 error message when I try to sign in.",Technical
"Data not syncing","My data is not syncing between the desktop app and the mobile app.",Technical
"Slow dashboard loading","The dashboard takes forever to load and sometimes times out completely.",Technical
"Feature not working after update","The export feature stopped working after the latest software update.",Technical
"Server downtime issue","Our servers seem to be down and none of the API endpoints are responding.",Technical
"Broken link on page","I found a broken link on the pricing page that leads to a 404 error.",Technical
"Two factor authentication failing","Two factor authentication is failing and I am locked out of my account.",Technical
"Upload button not responding","The upload button on the reports page is not responding when clicked.",Technical
"Integration error with third party tool","I am getting an integration error when connecting your tool with our CRM.",Technical
"App crashes on checkout","The checkout page crashes right before payment confirmation every single time.",Technical
